Header;0
"-----GENERAL INFORMATION-----";
"Cycle number";18
"Session number";0
"Firmware checksum";0xA847
"Float serial number";23001
"-----EMERGENCE REDUCTION-----";
Day;15
Month;11
Year;23
"Cycle day (day)";165
"Cycle hour (h)";14.55
"Fix volume (second)";328
"Number of valve actions at the surface";12
"Grounding flag";0
"-----PARKING DEPTH DESCENT-----";
"Descent start time (h)";14.9333
"Float stabilisation time (h)";15.6
"End of descent time (h)";1.38333
"Number of valve actions in descent";9
"Number of pump actions in descent";6
"Float stabilisation pressure (dbar)";60
"Max pressure during descent to parking depth (dbar)";1054
"-----PARKING DRIFT PHASE-----";
"Cycle day (day)";16
"Number of entrance in drift target range (descent)";4
"Number of repositions";0
"Minimum pressure in drift to parking depth (dbar)";956
"Maximum pressure in drift to parking depth (dbar)";1009
"Number of valve actions in parking";0
"Number of pump actions in parking";0
"-----DESCENT TO PROFILE DEPTH-----";
"descent start time (h)";1.71667
"End of descent time (h)";12.8833
"Number of valve actions in descent";8
"Number of pump actions in descent";2
"Max pressure in descent to profile (dbar)";2033
"-----DRIFT TO PROFILE PHASE-----";
"Number of entrance in drift target range";3
"Number of re-positioning in profile stand-by";0
"Number of valve actions in drift to Profile";0
"Number of pump actions in drift to Profile";0
"Minimum pressure in drift to Profile (dbar)";2014
"Maximum pressure in drift to Profile (dbar)";2014
"-----ASCENT PHASE-----";
"Ascent start time (h)";12.8833
"Time at end of ascent (h)";19.25
"Number of pump actions in ascent";11
"-----GENERAL INFORMATIONS-----";
"Float time : Hour";19
"Float time : Minute";16
"Float time : Second";43
"Float time : Day";25
"Float time : Month";11
"Float time : Year";23
"Pressure sensor offset (cbar)";-2
"Internal pressure (mbar)";585
"Batteries voltage at Pmax (V)";9.6
"RTC state indicator (normal=0 failure=1)";0
"Coherence problem counter";0
"Dissolved oxygen sensor state (0=Ok 1=Pb 2=None)";2
"-----GPS DATA-----";
"GPS latitude (°)";58
"GPS latitude (minutes)";41
"GPS latitude (minutes fractions (4th))";1482
"GPS latitude orientation (0=North 1=South)";0
"GPS longitude (°)";54
"GPS longitude (minutes)";27
"GPS longitude (minutes fractions (4th))";2317
"GPS longitude orientation (0=East 1=West)";1
"GPS valid fix (1=valid 0=not valid)";1
"Session duration (second)";57
""
"Pumping delay for GPS emergence (s)";0
"Antenna status (0=DontKnow 1=Ok 2=Short 3=Open)";1
"-----END OF LIFE-----";
"End of life flag";0
Hour;0
Minute;0
Second;0
Day;0
Month;0
Year;0
-----SYSTEM-----;
"System calendar retiming (Old - New)(Usable only on GPS valid fix) (second)";-20
""
