Header;0
"-----GENERAL INFORMATION-----";
"Cycle number";14
"Session number";0
"Firmware checksum";0xA847
"Float serial number";23001
"-----EMERGENCE REDUCTION-----";
Day;5
Month;10
Year;23
"Cycle day (day)";124
"Cycle hour (h)";18.5
"Fix volume (second)";312
"Number of valve actions at the surface";15
"Grounding flag";0
"-----PARKING DEPTH DESCENT-----";
"Descent start time (h)";18.9167
"Float stabilisation time (h)";19.3333
"End of descent time (h)";4.53333
"Number of valve actions in descent";8
"Number of pump actions in descent";0
"Float stabilisation pressure (dbar)";28
"Max pressure during descent to parking depth (dbar)";985
"-----PARKING DRIFT PHASE-----";
"Cycle day (day)";6
"Number of entrance in drift target range (descent)";1
"Number of repositions";0
"Minimum pressure in drift to parking depth (dbar)";958
"Maximum pressure in drift to parking depth (dbar)";1022
"Number of valve actions in parking";0
"Number of pump actions in parking";0
"-----DESCENT TO PROFILE DEPTH-----";
"descent start time (h)";5.71666
"End of descent time (h)";15.0833
"Number of valve actions in descent";7
"Number of pump actions in descent";0
"Max pressure in descent to profile (dbar)";2023
"-----DRIFT TO PROFILE PHASE-----";
"Number of entrance in drift target range";1
"Number of re-positioning in profile stand-by";0
"Number of valve actions in drift to Profile";0
"Number of pump actions in drift to Profile";0
"Minimum pressure in drift to Profile (dbar)";2012
"Maximum pressure in drift to Profile (dbar)";2028
"-----ASCENT PHASE-----";
"Ascent start time (h)";16.7667
"Time at end of ascent (h)";23.0167
"Number of pump actions in ascent";11
"-----GENERAL INFORMATIONS-----";
"Float time : Hour";23
"Float time : Minute";2
"Float time : Second";26
"Float time : Day";15
"Float time : Month";10
"Float time : Year";23
"Pressure sensor offset (cbar)";-2
"Internal pressure (mbar)";590
"Batteries voltage at Pmax (V)";9.7
"RTC state indicator (normal=0 failure=1)";0
"Coherence problem counter";0
"Dissolved oxygen sensor state (0=Ok 1=Pb 2=None)";2
"-----GPS DATA-----";
"GPS latitude (°)";59
"GPS latitude (minutes)";8
"GPS latitude (minutes fractions (4th))";4866
"GPS latitude orientation (0=North 1=South)";0
"GPS longitude (°)";54
"GPS longitude (minutes)";37
"GPS longitude (minutes fractions (4th))";5431
"GPS longitude orientation (0=East 1=West)";1
"GPS valid fix (1=valid 0=not valid)";1
"Session duration (second)";38
""
"Pumping delay for GPS emergence (s)";0
"Antenna status (0=DontKnow 1=Ok 2=Short 3=Open)";1
"-----END OF LIFE-----";
"End of life flag";0
Hour;0
Minute;0
Second;0
Day;0
Month;0
Year;0
-----SYSTEM-----;
"System calendar retiming (Old - New)(Usable only on GPS valid fix) (second)";-20
""
