Header;0
"-----GENERAL INFORMATION-----";
"Cycle number";13
"Session number";0
"Firmware checksum";0xA847
"Float serial number";23001
"-----EMERGENCE REDUCTION-----";
Day;25
Month;9
Year;23
"Cycle day (day)";114
"Cycle hour (h)";13.5167
"Fix volume (second)";288
"Number of valve actions at the surface";22
"Grounding flag";0
"-----PARKING DEPTH DESCENT-----";
"Descent start time (h)";14.1167
"Float stabilisation time (h)";14.7
"End of descent time (h)";23.65
"Number of valve actions in descent";8
"Number of pump actions in descent";0
"Float stabilisation pressure (dbar)";38
"Max pressure during descent to parking depth (dbar)";970
"-----PARKING DRIFT PHASE-----";
"Cycle day (day)";25
"Number of entrance in drift target range (descent)";1
"Number of repositions";0
"Minimum pressure in drift to parking depth (dbar)";958
"Maximum pressure in drift to parking depth (dbar)";994
"Number of valve actions in parking";0
"Number of pump actions in parking";0
"-----DESCENT TO PROFILE DEPTH-----";
"descent start time (h)";0.716666
"End of descent time (h)";9.5
"Number of valve actions in descent";6
"Number of pump actions in descent";0
"Max pressure in descent to profile (dbar)";1994
"-----DRIFT TO PROFILE PHASE-----";
"Number of entrance in drift target range";1
"Number of re-positioning in profile stand-by";0
"Number of valve actions in drift to Profile";0
"Number of pump actions in drift to Profile";0
"Minimum pressure in drift to Profile (dbar)";1984
"Maximum pressure in drift to Profile (dbar)";1994
"-----ASCENT PHASE-----";
"Ascent start time (h)";11.8667
"Time at end of ascent (h)";18.1333
"Number of pump actions in ascent";12
"-----GENERAL INFORMATIONS-----";
"Float time : Hour";18
"Float time : Minute";9
"Float time : Second";49
"Float time : Day";5
"Float time : Month";10
"Float time : Year";23
"Pressure sensor offset (cbar)";-2
"Internal pressure (mbar)";590
"Batteries voltage at Pmax (V)";9.7
"RTC state indicator (normal=0 failure=1)";0
"Coherence problem counter";0
"Dissolved oxygen sensor state (0=Ok 1=Pb 2=None)";2
"-----GPS DATA-----";
"GPS latitude (°)";59
"GPS latitude (minutes)";6
"GPS latitude (minutes fractions (4th))";9561
"GPS latitude orientation (0=North 1=South)";0
"GPS longitude (°)";54
"GPS longitude (minutes)";37
"GPS longitude (minutes fractions (4th))";1084
"GPS longitude orientation (0=East 1=West)";1
"GPS valid fix (1=valid 0=not valid)";1
"Session duration (second)";38
""
"Pumping delay for GPS emergence (s)";0
"Antenna status (0=DontKnow 1=Ok 2=Short 3=Open)";1
"-----END OF LIFE-----";
"End of life flag";0
Hour;0
Minute;0
Second;0
Day;0
Month;0
Year;0
-----SYSTEM-----;
"System calendar retiming (Old - New)(Usable only on GPS valid fix) (second)";-20
""
